danceability,energy,key note,loudness (dB),speechiness,acousticness,instrumentalness,liveness,valence,tempo (BPM),duration (s)
82.5,65.2,1,-3.183,8.02,58.1,0,9.31,93.1,95.977,234
78.5,61.7,1,-5.871,5.22,0.902,0.246,35.1,38.2,103.981,174
73.6,54.1,8,-5.597,2.97,41.5,0,11,66.2,94.962,246
58,53.1,5,-6.631,7.76,12.8,0.0127,14.3,14.1,159.786,218
78.1,44.5,2,-6.061,2.95,47.4,0,18.4,59.1,78.998,282
72.3,80.9,7,-3.081,6.25,0.346,0.123,56.5,27.4,98.007,177
75.8,44.8,7,-9.441,10.3,3.09,0.00867,55.8,37.3,77.176,199
65.3,81.6,2,-4.353,16.7,22.8,0,9.67,81.6,178.086,229
60.7,37.6,4,-9.954,45.3,85.6,0,28.5,54.5,102.541,234
60.5,76.8,0,-3.724,4.76,8.65,0,30.8,41.4,100.209,201
76.8,51.7,7,-4.323,3.12,18.6,0.0038,10.4,41.8,104.992,217
53.4,86.8,11,-5.057,20.6,19,0.318,14.8,40.6,159.757,209
67.8,58.8,7,-7.015,27.6,14.1,0.000635,13.7,48.6,186.005,230
66.3,71.3,7,-6.647,11.2,3.53,0.000768,8.43,69,101.965,198
76.2,70,9,-6.021,6.94,0.261,0.00156,15.3,60.8,116.073,209
65.2,71.3,8,-5.311,3.68,7.71,0.00102,14.4,15.2,100.023,206
61.4,37.9,4,-10.48,4.76,60.7,0.0464,9.86,20.1,107.989,259
35.8,55.7,10,-7.398,5.9,69.5,0,9.02,49.4,85.043,211
59.9,44.8,8,-6.312,2.32,16.3,0,10.6,16.8,95.05,263
90.8,62.1,1,-6.638,10.2,0.0282,0.00539,9.58,42.1,150.011,177
60.7,64.9,11,-6.695,3.62,3.06,0.00246,17.4,50.5,102.996,248
62.8,69.8,6,-5.608,10.5,4.72,0.143,9.07,73.2,89.976,212
60.2,79.7,6,-5.084,5.34,5.5,0,18.7,49.2,92.928,185
83.7,57.1,5,-8.273,9.22,61,0.0898,8.49,80.1,125.034,206
73.2,75,11,-6.366,23.1,0.264,0,10.9,40.1,155.096,183
73.4,63.7,4,-5.677,14.1,4.62,0.00229,6.02,64.8,169.977,202
85.6,60.9,0,-7.223,8.24,0.801,0.00815,3.44,92.8,114.988,270
58.9,65.1,6,-5.097,3.06,2.91,0.00032,11.1,16.6,90.011,213
65.9,80.2,2,-4.79,14.8,20.8,0,12.3,86.3,177.936,228
72.6,76.9,6,-5.043,12.3,2.93,1.01,10.4,73.3,97.985,234
60.4,82.6,0,-4.804,4.34,0.782,15,15.4,24.1,167.985,187
76.5,47.3,10,-5.829,5.14,28.7,0,39.1,34,119.992,237
56.6,66.4,4,-5.303,4.64,63.4,0,11.6,43.7,128.945,242
77.2,78,10,-4.288,10.8,5.12,0,11.9,71.9,124.988,204
78,68,4,-6.081,3.05,14.1,0.0012,13.8,59.4,118.026,181
63,80.4,6,-4.183,3.63,21.5,0,25.3,49.2,123.146,220
45.5,79.7,10,-4.133,36,13.2,0,11,75.7,165.717,188
74.6,75.4,1,-6.681,6.7,1.52,0,4.86,76.4,149.882,207
66.9,83.2,0,-5.72,6.82,1.06,0,9.68,70,113.035,238
63,92.8,9,-2.787,3.31,19.9,12.4,14.8,46.5,123.963,222
41.6,43,0,-6.516,4.08,55.9,0.0244,11,17.7,84.406,173
80.3,58.5,8,-5.861,4.32,10.3,0.000394,6.44,59.3,105.017,214
48.1,45.1,5,-6.095,3.47,33.6,0,8.72,28.9,157.966,295
70.2,77,9,-5.416,4.82,12.4,0,10.3,59.3,107.951,214
42.2,26.4,8,-7.064,3.22,92.2,0,13.2,33.1,119.93,270
47.9,54.5,7,-7.346,6.88,36.5,0,9.63,24.4,74.897,253
74,61.3,8,-4.88,14.5,25.8,0.372,12.3,47.3,75.023,167
59.9,53.8,11,-6.3,17.1,6.4,0,9.27,56,183.941,219
85.3,56,1,-4.961,4.06,1.3,0,9.44,86,134.066,207
68.9,48.1,10,-7.503,8.15,36.9,0.000103,6.49,28.3,80.025,230
59.9,66.7,7,-4.267,3.67,5.33,0,13.4,81.7,80.984,289
72,76.3,9,-4.068,5.23,40.6,0,18,74.2,101.965,251
73.2,39.6,4,-9.348,2.86,8.41,0.00358,10.5,54.8,90.024,196
44.8,78.4,9,-3.686,6.27,10.6,0.0108,66.8,23.6,136.245,187
74.7,87.7,9,-3.782,6.64,3.75,0.0833,23.3,75.2,107.991,166
77.4,62.6,3,-4.432,4.32,9.69,0.00312,8.48,77.7,100.041,211
64,53.3,0,-6.596,7.06,11.9,0,8.64,51.5,99.968,221
39.9,78.7,1,-2.88,4.99,1.97,0.00607,6.85,57.2,117.089,216
73.7,45.2,0,-8.366,5.34,5.78,0.00148,18.7,9.6,117.962,246
77.4,68.7,11,-4.818,5.84,1.79,0.00117,12.8,30.8,104.959,189
72.8,56.3,1,-8.053,13.4,62.1,0,17.9,35.2,100.017,218
51.6,80.6,2,-5.133,5.38,0.389,0.0674,11.5,57.7,124.118,250
66.3,71.2,1,-4.945,3.81,6.49,0,11.9,48,122.014,257
74.8,78.8,1,-7.055,3.34,5.91,0,8.63,88.4,120.076,235
90.3,62.1,2,-8.132,5.78,0.302,0.0186,5.04,55.3,134.969,267
35.6,56.7,0,-7.011,7.98,8.61,0,13.7,10.9,135.553,242
57.6,77.7,10,-5.035,45.8,2.31,0,36.6,25.9,145.2,247
64.1,92.2,2,-4.457,7.86,2.91,0,8.62,84.7,146.078,258
64.5,71.3,6,-5.355,3.93,0.835,0,11.3,56.6,74.989,215
75.7,67.2,0,-6.524,9.55,1.86,0,15.8,38.2,111.996,251
65,73.6,6,-5.84,22.9,5.13,0,23.5,61.2,159.174,226
50.1,51.9,4,-5.88,4.09,10.9,0,45.4,16.8,133.99,196
77.1,76,4,-5.459,5.14,14.7,0,5.3,88.1,119,218
51.5,37.8,5,-8.264,6.5,61.8,0,17.2,53.6,91.883,201
74.4,80.4,1,-6.327,6.77,2.31,0,4.94,42.6,104.823,206
43.2,78.1,4,-4.038,5.67,4.1,0.000421,7.89,19.7,139.432,250
68,56.3,10,-5.843,4.54,35.4,0,13.6,37.4,145.028,231
50.5,71,3,-3.015,3.21,19,0.025,32.9,42.8,89.938,175
49.2,27.5,6,-13.4,30,68.7,0,10.1,18,92.6,251
69.4,71.2,7,-3.923,4.6,13.3,0,21.1,79.9,98.022,201
25.8,65.9,5,-5.903,5.96,25.3,0,11.1,27.2,189.558,250
74,55.8,8,-8.115,10.2,56.6,0,11.2,42.1,140.057,221
83.5,62.6,1,-5.833,12.5,5.89,0.006,39.6,35,91.03,218
62,57.4,5,-7.788,4.79,57,0,19,35.2,100.021,250
77.3,81.9,0,-5.946,11.8,42.6,0,6.79,58.5,92.99,269
87.2,39.1,0,-9.144,24.2,46.9,0.000413,29.7,43.7,134.021,119
55.6,53.8,8,-5.408,3.82,6.89,0,19.6,29.1,143.95,223
48.4,73.1,1,-6.694,3.79,43.1,0,15.1,51,101.654,204
69,62.2,5,-5.025,6.22,25.3,0,11.6,54.4,102.04,210
86.6,81.3,11,-4.063,5.54,38,0,7.79,96.9,121.998,199
81.6,72.6,5,-3.998,12.9,9.9,0,37.2,65,136.048,253
83.3,43.4,2,-8.795,43.1,1.02,2.19,16.5,28.1,150.062,205
52,76.1,4,-3.093,8.53,25.6,0.000496,17,28.6,141.971,181
72.9,61.5,4,-4.238,6.47,37.8,0,10.5,50.8,99.989,182
80.4,65,7,-7.79,11.8,6.06,0.00705,10.2,39.7,117.984,263
79.1,86.2,9,-3.24,11,3.7,0.00219,8.14,59.2,123.994,215
81.8,80.3,1,-4.282,7.97,3.4,0,15.3,63.2,106.97,226
83.6,54.4,7,-5.975,9.43,4.03,0,8.24,51,97.028,218
39.7,39.6,3,-9.91,5,25.4,0,26.8,22.7,142.913,354
56,59.2,9,-6.951,5.44,45.5,0,29.7,56.4,112.684,212
79.9,58.6,11,-6.735,3.77,16.2,0.000203,19.3,54.9,120.97,228
71.3,80.2,4,-7.055,5.61,4.35,0.377,30.9,34.3,100.001,227
63.6,81.5,5,-5.098,5.81,1.85,0,16.3,63.6,123.063,219
64.6,64.4,2,-6.763,3.1,2.43,0,8.88,25.1,99.999,222
74.6,87.3,7,-3.803,12.8,2.44,0,35.4,81.7,148.075,222
67.1,31.4,5,-8.091,24.4,11,0,8.25,29.6,110.898,192
69.6,81.7,1,-3.862,10.9,7.5,0,18.7,78.2,98.064,216
46.1,83.4,2,-4.868,9.89,2.32,0.00114,14,47.1,135.007,261
72.5,32.1,1,-10.744,32.3,57.8,0,8.84,31.9,70.142,179
72.4,64.7,1,-5.642,6.58,28,0,10.2,43.5,106.96,207
68.7,79.2,5,-2.749,4.52,19.1,0,16.7,67.1,100.015,214
48.6,65.2,11,-7.226,5.2,40.8,0.00663,7.7,39.1,113.055,274
92.4,54.3,9,-7.474,29.8,18.2,0,10.3,73.6,133.907,208
66.2,75.7,5,-6.818,14.4,29.1,0,8.85,96.2,159.945,233
56.4,73.7,9,-4.079,4.14,1.75,0,5.4,21.1,104.764,221
77.5,68,0,-5.508,6.29,0.906,0,10.9,65.6,114.025,208
66,38.2,2,-5.919,3.04,39.1,0,9.72,43.6,119.875,252
73.8,86.8,11,-4.373,7.31,3.89,0.171,38.8,33.6,122.003,213
67.9,66.2,8,-6.069,17.4,15.5,0,15.2,43.8,99.879,223
67,83.8,0,-4.031,3.62,6.04,0.0611,15.9,71.7,104.998,222
70.6,78.6,0,-3.417,9.09,26,0,38,74.9,150.035,199
77.7,62.7,7,-6.142,7.92,35.6,0,9.56,44.4,100.054,214
64.5,58.5,6,-6.122,5.13,0.314,0,16.5,35.3,131.931,216
60.3,86.1,4,-3.565,3.25,2.15,4.3,10,72,127.962,225
58.3,73.2,11,-5.728,4.57,0.312,0.000986,26.9,27.6,145.992,213
64.1,17.6,6,-11.692,3.49,63.8,0.000514,25.2,29.7,76.031,299
67.9,71.5,9,-6.383,4.07,7.55,0,27.1,57.1,127.435,214
76,88.6,9,-5.356,2.58,2.19,0.000743,62.3,78,123.002,189
77.4,75.6,1,-4.995,3.89,4.23,0,30.5,93.1,144.032,225
57.8,86.6,1,-3.804,6.19,0.701,0,25.7,61.9,128.038,199
68.8,70.2,7,-4.792,4.99,2.15,0,12.8,74,94.006,192
58.1,96.3,11,-4.087,9.81,2.95,0,13.9,78.8,129.992,204
67.1,91.6,6,-4.014,3.97,2.82,0.762,24,80.3,126.01,189
63.2,57.5,5,-6.478,2.9,2.25,0.000181,10.4,18.8,90.037,183
45.3,49.6,5,-5.785,4.53,55.4,0.00265,7.72,50.1,80.994,239
55.1,63.6,6,-7.125,2.81,0.713,0.203,21.7,15.3,124.996,268
50.3,69.2,0,-5.836,20.2,0.453,0,13.3,20.8,102.604,228
62.3,73.4,9,-5.95,10.7,1.62,0.00019,14.5,37.2,107.853,244
78.6,69,3,-4.665,4,8.65,0.00903,23.8,48.5,122.006,196
41.2,85.9,0,-4.095,8.52,2.82,0.715,40.4,36.9,127.934,214
72.5,68,8,-5.465,3.06,16.2,0.000213,15.8,76,119.939,248
82.9,51,5,-9.334,3.69,0.821,0.14,8.29,45,119.993,208
81.1,87.9,9,-3.724,5.14,4.76,0.000191,10.9,96.2,134.064,189
65.7,82.7,5,-4.036,7.34,0.0704,0.534,6.5,69,145.889,190
61.6,43.2,7,-9.546,13.3,10.6,0,13.2,30.2,84.778,190
64.6,82.3,2,-4.123,3.94,21.3,0,32.2,41.8,128.035,227
62.8,69,8,-5.828,5.11,44.6,0,11.2,66.2,179.911,206
79.4,63.2,0,-6.163,6.49,14.2,0,12.8,35.5,145.926,292
57.9,73.6,6,-3.863,5.27,31,0,19.8,61.3,127.999,231
50.9,67.1,1,-5.709,6.78,30.4,0,4.52,55,118.413,227
65.3,80.2,1,-5.317,21.5,2.14,0.00193,10.8,58.9,102.993,194
77.6,57.4,5,-9.882,3.17,46.6,0.00783,13.1,41.2,121.03,139
57.6,26.7,2,-5.668,4.4,87.8,0,11.9,32.6,205.888,188
73.7,72.3,1,-5.51,2.95,1.79,0,6.75,89.3,120.003,190
77.7,56.4,2,-6.967,3.15,68.3,0.0252,6.96,46.5,117.973,186
64.8,73.6,8,-7.948,3.85,4.44,0.0137,17.1,37.8,103.027,239
72,80.2,1,-5.797,5.82,9.21,0,69.4,72.3,124.043,229
68.7,70.2,7,-5.324,4.55,0.64,0.00435,20.4,28.4,129.956,215
60,67,5,-6.455,5.38,17.4,0,7.46,25,88.955,222
59.6,73,9,-4.091,15.1,24,0,32.5,52.5,85.979,193
45.9,74.1,4,-6.43,4.95,0.0189,0,48.1,34.4,189.879,231
42.1,79.1,9,-4.998,4.96,1.17,0.00148,14.6,49.9,130.075,257
78.1,52.6,6,-6.985,29.3,6.19,0,4.57,66.2,94.992,236
88.4,76.5,8,-3.865,8.82,6.3,0.000704,11.8,59.4,99.987,225
78.5,86,9,-3.642,7.94,5.56,0,6.75,62.3,110.048,251
59.9,80.3,0,-3.641,9.86,6.9,13.7,12.9,23.3,126.057,245
72.3,71.1,0,-5.576,3.78,9.97,0,5.28,60.6,138.098,192
56.5,84.9,0,-3.516,5.17,0.868,0.000468,12,42.7,102.034,213
49,74.3,0,-5.155,4.09,25.5,0.000721,30,36.3,89.974,259
70.4,42.3,8,-6.792,8.62,41.6,0,6.07,45.1,113.962,176
86.1,50.4,7,-7.707,4.89,0.412,0.00178,7.83,88.1,120,263
85.2,55.3,1,-7.286,18.7,5.63,0,33.2,65.6,142.072,206
80.6,60.8,1,-7.008,6.59,1.13,0,63.5,84.9,95.049,220
63.8,92.4,7,-3.887,3.59,0.205,0.0173,14.9,52.9,111.995,264
72.6,69.8,5,-4.165,4.31,4.9,0,30.9,86.7,143.994,233
66.7,79.1,7,-4.329,3.19,0.778,0.00119,41.5,42.1,89.956,223
91.1,70.9,10,-4.139,6.73,10.5,0,4.91,36.5,94.979,200
55.9,77.7,1,-5.031,4.32,31,0,10.5,32.9,87.016,231
53.7,77.7,7,-4.829,4.73,2.79,0.00612,8.38,42.7,124.943,255
87.9,57.4,11,-8.794,3.7,40.5,0.015,9.13,68.2,114.001,311
50.3,74.8,5,-4.124,6.19,3.05,0,34.3,35.6,125.896,210
77.6,41.3,6,-7.438,9.52,0.415,0.00268,7.24,28.7,100.003,228
69.9,88.3,5,-3.226,21.9,2.88,0,81.7,49.9,127.961,212
73.8,77.6,1,-4.808,3.92,2.34,0.18,7.75,60.8,127.984,216
50.3,72.7,1,-5.456,16.7,1.59,0.00945,8.95,52.1,121.985,256
70.2,70.5,0,-6.666,5.43,25.8,0.000593,8.79,74.3,154.911,213
56.4,55.2,0,-5.438,5.5,43.9,0,16.3,26,119.907,233
78.6,86.8,1,-5.503,30,13.5,0,21.8,77.1,140.024,219
54.1,68.4,11,-5.957,5.13,0.146,0,13.6,40.7,91.954,225
70.6,24.7,5,-17.961,3.11,26.1,0,10.3,42.4,127.812,202
82.6,43.6,1,-9.583,5.58,44.1,61.5,9.64,27.2,119.051,259
59.9,86.9,0,-3.697,7.89,5.25,0.719,10.3,59.3,108.061,193
61.4,97.2,5,-3.927,8.8,0.125,1.86,32.8,41.1,127.966,171
68.5,46.6,0,-9.074,3.04,79.4,0.000206,9.15,35.3,79.936,163
60,41.2,8,-9.343,34.4,61.5,0.25,13.4,40.8,113.049,226
61.8,71.7,7,-5.738,31.8,0.256,0,62.5,60.3,190.05,197
50.6,80.5,1,-4.119,4.69,0.711,0.193,8.56,38.3,126.008,227
81.1,49.9,5,-7.161,11.8,1.47,0.000244,34.2,46.6,111.016,201
66.9,52.1,7,-8.732,3.66,23.6,0,8.02,32.7,130.071,255
54.8,53.2,5,-7.596,3.23,18.6,0.0263,21.7,40.5,85.03,272
46.6,74.7,4,-4.838,7.95,41.7,0.000976,10.7,43,92.161,204
47.2,71.4,1,-4.389,3.34,0.937,0,7.64,24,98.992,236
62.8,59.3,8,-5.036,3.23,9.3,0.000165,9.6,10.4,125.026,197
69,52.4,6,-8.39,10.3,4.15,0.000316,17,56.2,164.023,223
85.7,51.7,0,-6.972,3.84,56.5,0.0195,10.2,75.4,129.063,245
61.2,28,0,-8.648,4.34,93.2,0,8.8,38.7,72.795,214
79.5,61.6,1,-5.281,6,41.7,0,34.9,81.5,110.015,190
42.1,87.3,10,-4.343,5.65,6.53,0,12.3,63,84.803,203
73.8,48.3,6,-8.915,4.03,2.62,61.6,10.6,35.5,93.458,285
34.4,50.9,5,-6.607,7.22,24,0,8.3,52.9,76.004,485
65.5,81.9,0,-4.852,3.16,0.0176,0.374,10.4,76.6,117.956,193
79.4,81.1,6,-8.966,3.8,4.26,0.000107,10.1,86.2,116.047,248
76,65.2,6,-7.321,23.2,3.48,0,30.7,75.9,100.315,178
61.2,84,11,-3.145,5.09,11.2,0,11.6,43.8,129.042,213
85.4,76.6,9,-4.697,14.1,2.42,0,7.93,78.4,118.004,224
77.8,74.1,10,-4.97,4.84,5.38,0.000204,29,36.4,102.95,219
46.6,40.3,5,-6.142,3.37,39.5,0,11.1,33.7,119.81,223
69.8,73.2,2,-4.522,26.6,0.704,0.0647,35.9,6.89,171.431,326
77.8,54.7,2,-7.273,4.89,34.6,0.0302,13.2,44.1,95.002,243
67.2,59.3,11,-4.01,3.04,2.23,0,21.4,43.8,98.02,229
55.9,33,9,-8.251,2.85,89.2,0,9.75,28.5,135.109,285
71.9,67.1,8,-6.279,3.36,3.72,0.000821,12,78.6,130.027,238
81.8,67,8,-4.451,4.72,30.4,0.000122,6.01,93.9,119.988,235
52.7,83.5,6,-5.298,4.33,1.66,0,24.9,65.4,125.983,177
71.5,65.5,0,-6.425,13.7,5.25,0,11.5,53.1,95.078,207
78.1,59.9,7,-6.501,4.36,1.09,0.000112,10.9,60.8,120.053,193
45.5,78.6,1,-5.16,3.38,2.34,0,14.5,41.6,103.172,268
66.9,74.7,6,-7.108,4.28,14.1,0,18.5,48.3,122.531,242
37.6,82.1,0,-3.974,10.4,7.85,0,8.23,33.1,120.462,199
66.2,60.2,4,-5.369,4.01,5.29,0,35.6,29,133.969,236
63.5,69.1,0,-4.862,25.8,55.5,0,9.7,63.8,82.142,217
37.8,63.8,10,-5.576,7.5,2,0.00766,8.49,73.5,184.086,251
73.6,76.1,4,-5.449,3.38,9.66,0,8.23,11.4,119.999,238
74.9,92.5,10,-5.034,22.7,24.1,0,52,64.1,86.989,263
81.8,79.9,1,-4.1,15.6,0.107,12.8,5.7,8.15,100.014,214
36.7,91.5,9,-3.456,4.88,0.22,0.00581,9.05,36.5,110.169,207
68.6,45.7,11,-8.322,4.68,59.5,0,10.5,71.8,150.953,242
74.1,72.6,3,-3.77,14.3,18.1,0.0189,11.1,52.7,163.991,209
38.5,86.6,4,-2.817,6.97,0.4,0,11.1,55.1,176.014,228
69.7,62.1,9,-6.886,25,8.02,0,16.2,72.1,81.946,193
62.1,83.1,5,-4.676,4.35,0.437,0.00834,17,58.9,122.072,205
73.6,68,4,-7.036,3.61,0.101,89.7,9.22,8.02,120.995,258
63.7,84.3,5,-5.413,4.32,1.51,0,8.76,43.4,109.012,221
61.3,62.2,1,-5.794,3.34,0.882,0,37,48.4,80.003,231
72.2,75.8,11,-4.477,4.71,1.11,0,30.8,62,128.047,201
42.6,72.2,5,-5.369,19.6,1.13,0.000127,26.2,25,196.133,247
64.2,28.9,9,-9.918,3.67,66.9,0,18,40.7,84.996,258
63.5,92.6,0,-5.589,15.1,8.93,0.000453,9.28,76.1,100.048,190
69.6,59,6,-7.428,9.04,15.1,0,24.7,46.2,99.984,193
69.5,86.9,8,-5.066,4.83,41,0,23.7,58,124.989,235
74.7,47.7,10,-11.062,27.6,9.62,0,11.4,32.1,93.44,245
82.1,75.9,8,-8.541,12.1,24.7,0,32.1,96.2,140.01,185
49.1,80.2,4,-7.106,3.92,25,0,38.7,47.2,119.25,249
58.9,62.1,5,-6.902,4.68,0.969,0.104,18.1,40.1,140.03,323
70.7,77.1,7,-6.275,7.83,43.4,0.13,11.5,43.7,142.016,218
73.3,71,5,-5.849,2.92,14.5,11.5,9.56,96.5,127.975,240
74.7,70.5,9,-5.137,12.6,1.28,0,12.6,56,136.024,214
71.3,78.1,1,-4.859,12.1,3.53,0,15.5,80,102.078,175
56,44.2,5,-7.224,2.43,72.7,0.00171,11,21.2,146.448,310
88.4,82.6,11,-3.672,8.54,22.2,0.000229,7.19,46.6,94.997,192
66.7,61.3,1,-5.353,3.44,40.3,0,11.5,47,91.024,194
74.5,75.6,4,-4.749,4.29,2.1,0,35.6,49.5,109.999,231
20.9,41.8,3,-8.74,3.38,16.3,0.195,11.3,12.3,138.265,296
46.4,77.1,8,-4.503,33.6,2.35,0,6.3,69,158.777,198
82.3,56.3,6,-5.095,4.43,3.99,0,8.51,68.2,98.031,225
57.2,85.3,1,-3.203,21.7,7.57,0,7.98,10.2,171.297,298
62.8,73.7,7,-4.437,4.1,6.25,0,7.77,59.2,91.507,185
88.3,81.7,0,-5.414,23.5,60.1,0.449,11,59.5,128.078,167
68.9,52.1,0,-5.845,13.2,11.9,0.00841,10.8,17.8,95.055,230
64.7,82.3,2,-5.231,7.62,5.98,0,11.9,39.6,99.933,230
63,53,0,-7.259,4.34,40,0,17.7,41.7,108.038,225
48.5,61.9,5,-7.115,2.89,9.41,0.000331,10.9,41.6,138.017,242
61.6,76.5,0,-6.75,7.8,0.29,0,14.9,34.3,122.916,219
33,93.6,1,-3.66,9.17,0.108,0,9.26,23.4,148.112,223
80.4,45.9,11,-11.556,3.9,30.4,8.62,11,37.2,111.963,299
88.6,52.5,8,-7.39,13.2,23.6,0,5.7,70.8,145.99,225
81.9,91.3,4,-3.059,4.27,9.35,0.00372,16.1,53.6,119.989,219
62.4,87.6,9,-3.374,10,7.35,0,32.7,78.1,99.943,171
65.3,62.3,6,-5.273,8.2,25.3,0,14.4,40.1,123.999,234
52.1,75.2,11,-5.374,3.69,1.91,0,6.82,30,105.051,244
50.8,72,11,-5.908,6.28,27.2,0,5.63,47.2,79.983,262
69.9,52.9,2,-7.548,4.87,3.17,0.00359,28.5,12.1,119.987,206
87.4,69.2,5,-5.28,4.31,4.12,0.00724,32.4,93.7,116.017,179
63.4,81.5,2,-6.2,16.8,18.8,0.0276,17.4,70.8,133.963,194
73.2,72.7,6,-3.708,2.95,10.2,0,11.2,24.3,125.062,221
81.8,72.1,1,-5.512,6.58,3.3,0,34.5,37.8,97.966,285
71.4,90.5,8,-2.663,2.89,0.855,0.00255,14.6,83.8,125.927,155
41,89.3,6,-4.347,3.42,0.0714,0,20.2,68.8,174.648,258
64.8,83.1,2,-5.573,2.9,0.117,0.31,19.8,33.1,112.013,188
86.9,68.7,1,-6.816,26.3,2.08,0.0001,11.4,66.8,96.006,234
71.2,79.9,5,-3.44,3.29,4.63,0,8.36,70,93.015,219
73.1,63.9,9,-6.597,3.59,2.06,0.00129,7.89,52.7,122.08,158
62.5,72.6,10,-7.731,15.5,0.728,0,31.8,48.3,103.98,312
56.4,81.1,1,-5.734,5.13,1.53,0.000872,12.5,11.4,126.007,215
